,title,price,link
10,"Acer Aspire 3 Intel Core i3-1215U Processor Laptop with 35.56 cm (14"") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/Wifi 6/Intel Graphics/Win11 Home/65W) A324-51, Steel Gray, 1.45KG  ","28,970",https://amazon.in//Acer-i3-1215U-Processor-LED-Backlit-A324-51/dp/B0D817WFC8/ref=sr_1_73?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-73
11,"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop  ","32,990",https://amazon.in//Dell-Smartchoice-i3-1215U-Processor-Spill-Resistant/dp/B0BQJ68HHC/ref=sr_1_7?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.L2wEpXgo8985OWtdIJRSaJr0DoSU8hGBiipM0xJ1_6joxPUKuchFKxvt9q4cLNCL7ztaKM56DhUB-iiQhYcpxnA4SuHfYyywdwu7m6STN7Lt6UM50UukxZ9RQ9OmUAwYaS3YJ_UQLCAaOhQuo15QMa0d2ACgbq4MffH_5JHMsDdMEl2q9qxc2N79L3nFPksDcp-mcPs-x4XAtqJE1n_2msm8CiLgyA-fd1KOhl1YQqQ.e-sO1AeDMhIHhWT9FN-nrKqQ68eYYubI18sd_mLPZCw&dib_tag=se&keywords=laptop&qid=1729858975&sprefix=lap%2Caps%2C432&sr=8-7
12,"HP Laptop 240 G8 (2024), Intel Core i5 11th Gen 1135G7 - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14 (35.56cm)/Black/1.47 kg/MS Office 2021 Pro Plus  ","43,990",https://amazon.in//HP-Laptop-240-Intel-1135G7/dp/B0DJCQPNZ8/ref=sr_1_74?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-74
13,"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + Mso'21 & 15 Month McAfee, Silver, Thin & Light- 1.62kg  ","55,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTcwNTg4NTgzMTk1NjA1OjE3Mjk4NTkwMzQ6c3BfbXRmOjMwMDI3ODQwODY1MjIzMjo6MDo6&url=%2FDell-Inspiron-i5-1334U-Processor-39-62cm%2Fdp%2FB0D2Y1BLDT%2Fref%3Dsr_1_75_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729859034%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"Lenovo [Smartchoice LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","66,190",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MTcwNTg4NTgzMTk1NjA1OjE3Mjk4NTkwMzQ6c3BfbXRmOjMwMDE2NzA4OTQ1OTMzMjo6MDo6&url=%2FLenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN%2Fdp%2FB0CX8XPKWJ%2Fref%3Dsr_1_76_sspa%3Fcrid%3D234WC15ZUST3N%26dib%3DeyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1729859034%26sprefix%3Dlap%252Caps%252C432%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
15,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa built-in/3 mon. Game Pass/Grey/1.37Kg), 83EQ005VIN  ","49,190",https://amazon.in//Lenovo-IdeaPad-i5-12450H-35-5cm-83EQ005VIN/dp/B0D6MPVN7B/ref=sr_1_77?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-77
16,"Lenovo Legion 7 Intel Core i9-14900HX 16"" (40.64cm) 3.2K IPS 430Nits 165Hz Gaming Laptop (32GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 4070 8GB/100% DCI-P3/3 Month Game Pass/Grey/2.24Kg), 83FD000XIN  ","2,20,800",https://amazon.in//Lenovo-i9-14900HX-40-64cm-430Nits-83FD000XIN/dp/B0CXXN4FD3/ref=sr_1_78?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-78
17,"Lenovo IdeaPad Slim 3 2021 11th Gen Intel Core i3 15.6 FHD Thin & Light Laptop (8GB/256GB SSD/Windows 10/MS Office/2 Year Warranty/Arctic Grey/1.65Kg), 82H801CUIN  ","33,693.00",https://amazon.in//Lenovo-IdeaPad-Windows-Warranty-82H801CUIN/dp/B0999CL22H/ref=sr_1_79?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-79
18,HP 440 G9 BZ NB/Pro-book/i5-1235U/16GB/512GB SSD/FHD/BLK/Win11 Pro/3 Yr Onsite-9S706AT  ,"87,999",https://amazon.in//HP-Pro-book-i5-1235U-512GB-Onsite-9S706AT/dp/B0D879YB6L/ref=sr_1_80?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-80
19,"Dell Alienware m18 R1, Core i9-13980HX| NVIDIA RTX 4090, 16GB|64GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|18.0"" (45.72cm)|Dark Metallic Moon|2.72Kg|Gaming Laptop  ","4,39,990",https://amazon.in//Dell-Alienware-i9-13980HX-Processor-Metallic/dp/B0C9F1VXCJ/ref=sr_1_81?crid=234WC15ZUST3N&dib=eyJ2IjoiMSJ9.4LisWjs6RRMV5JMgMByDsAo3MXoLuw3s9c_zlIrtui_yRqzNLc0KNAhZ8pIUpPWtijKgQ3IFU7ILw1hGu9ywZHyQhbvbYWro5cVQMvoNdjxjUFmvJRbr4rc11J_iQ-4QzgTkHxiIdwyhnttWTOmrvQKrO7nFtVMcBW8QpyHXlSX88QDdt_EWIYkz14G9uMHRSwVmVcrvBqHBo1buyuyqYp5RpZDlScSV0YqwPYGrh7U.A8HJF-F2Qj7f8HRICPfbNYkMJimtk8V3a8NHkndli7c&dib_tag=se&keywords=laptop&qid=1729859034&sprefix=lap%2Caps%2C432&sr=8-81
